NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
6649	2	1000	4	200.000092	0	0	0	1594	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	4	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	5	200.000092	0	0	0	1659	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	5	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	6	200.000092	0	0	0	1677	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	6	200.000092	9	9	0	0	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	7	200.000092	0	0	0	1558	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	7	200.000092	9	9	0	3	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	8	200.000092	0	0	0	1559	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	8	200.000092	9	9	0	1	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	9	200.000092	0	0	0	1676	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	9	200.000092	9	9	0	2	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	10	200.000092	0	0	0	1652	1.000000	0.001458	0.000000	0	0	0
6649	2	1000	10	200.000092	9	9	0	6	1.206277	0.001458	194.086761	1	0	0
6649	2	1000	-1	200.000092	0	0	0	1997	1.000000	0.001458	0.000000	0	0	0
